ADIOS V1.00 (Automatic DistIlation Of Strctures)
Wed Nov 13 23:24:11 2013

Verbosity level: 0
Context window-length: 5
Coverage: 0.65
Eta: 0.8
P-value: 0.01
Rewiring mode: Single
itrs = number of iterations
#ptrs = number of patterns
#ecs = number of equiavlence classes
#edges = number of edges
entropy = entropy (bits)
size = size (bits)
comp = compression (%)
itrs	#ptrs	#ecs	#edges	entropy	size	comp
0	0	0	60992	1.91	1395144	100
100	25	3	58436	1.87	1355800	97.2
200	35	9	57912	1.86	1348520	96.7
300	50	15	57237	1.84	1339224	96
400	57	17	56957	1.84	1335256	95.7
500	75	21	56336	1.82	1327064	95.1
600	76	21	56297	1.82	1326488	95.1
700	80	22	56224	1.82	1325656	95
800	83	22	56140	1.81	1324504	94.9
900	84	22	56128	1.81	1324360	94.9
1000	85	23	55936	1.82	1321384	94.7
1100	86	23	55901	1.81	1320936	94.7
1200	91	25	55684	1.81	1317864	94.5
1300	93	26	55625	1.81	1317064	94.4
1400	95	27	55567	1.81	1316280	94.3
1500	96	27	55537	1.81	1315928	94.3
1600	96	27	55537	1.81	1315928	94.3
1700	97	28	55446	1.8	1314760	94.2
1800	98	29	55430	1.8	1314600	94.2
