ADIOS V1.00 (Automatic DistIlation Of Strctures)
Wed Nov 13 23:17:42 2013

Verbosity level: 0
Context window-length: 5
Coverage: 0.65
Eta: 0.8
P-value: 0.01
Rewiring mode: Single
itrs = number of iterations
#ptrs = number of patterns
#ecs = number of equiavlence classes
#edges = number of edges
entropy = entropy (bits)
size = size (bits)
comp = compression (%)
itrs	#ptrs	#ecs	#edges	entropy	size	comp
0	0	0	40653	0.743	1139984	100
100	30	8	38475	0.719	1107344	97.1
200	52	17	37606	0.709	1095264	96.1
300	57	19	37417	0.707	1092592	95.8
400	59	20	37358	0.706	1091808	95.8
500	63	20	37243	0.705	1090208	95.6
600	66	20	37141	0.703	1088736	95.5
700	68	20	37118	0.703	1088480	95.5
800	71	21	37037	0.701	1087408	95.4
900	75	24	36928	0.7	1086032	95.3
1000	77	25	36871	0.699	1085296	95.2
1100	79	25	36831	0.698	1084768	95.2
1200	79	25	36831	0.698	1084768	95.2
1300	79	25	36831	0.698	1084768	95.2
1400	81	26	36791	0.698	1084320	95.1
1500	81	26	36791	0.698	1084320	95.1
1600	83	26	36727	0.697	1083408	95
1700	83	26	36727	0.697	1083408	95
1800	84	26	36662	0.696	1082416	95
1900	84	26	36662	0.696	1082416	95
2000	84	26	36662	0.696	1082416	95
2100	84	26	36662	0.696	1082416	95
