ADIOS V1.00 (Automatic DistIlation Of Strctures)
Sat Apr 21 22:12:06 2012

Verbosity level: 0
Context window-length: 5
Coverage: 0.65
Eta: 0.9
P-value: 0.01
Rewiring mode: Single
itrs = number of iterations
#ptrs = number of patterns
#ecs = number of equiavlence classes
#edges = number of edges
entropy = entropy (bits)
size = size (bits)
comp = compression (%)
itrs	#ptrs	#ecs	#edges	entropy	size	comp
0	0	0	111532	0.897	4221368	100
100	5	2	110954	0.894	4212776	99.8
200	16	9	110408	0.892	4205480	99.6
300	22	10	110083	0.89	4200744	99.5
400	25	12	110022	0.89	4200136	99.5
500	28	14	109943	0.889	4199272	99.5
600	30	15	109919	0.889	4199112	99.5
700	42	20	109674	0.887	4196552	99.4
800	46	21	109476	0.886	4193672	99.3
900	48	23	109426	0.886	4193272	99.3
1000	51	24	109370	0.886	4192600	99.3
1100	53	25	109307	0.885	4191752	99.3
1200	54	26	109291	0.885	4191640	99.3
1300	55	27	109270	0.885	4191496	99.3
1400	55	27	109270	0.885	4191496	99.3
1500	56	27	109235	0.885	4190984	99.3
1600	57	28	109220	0.885	4190920	99.3
1700	57	28	109220	0.885	4190920	99.3
1800	57	28	109220	0.885	4190920	99.3
1900	58	28	109201	0.885	4190664	99.3
2000	61	30	109129	0.884	4189832	99.3
2100	64	32	109088	0.884	4189512	99.2
2200	64	32	109088	0.884	4189512	99.2
2300	65	33	109070	0.884	4189384	99.2
2400	65	33	109070	0.884	4189384	99.2
2500	66	34	109055	0.884	4189320	99.2
2600	66	34	109055	0.884	4189320	99.2
2700	67	34	109043	0.883	4189176	99.2
2800	68	35	109025	0.883	4189016	99.2
2900	71	36	108930	0.883	4187720	99.2
3000	71	36	108930	0.883	4187720	99.2
3100	72	36	108906	0.883	4187400	99.2
3200	72	36	108906	0.883	4187400	99.2
3300	72	36	108906	0.883	4187400	99.2
3400	72	36	108906	0.883	4187400	99.2
